6.41,,4.22,0,,
5.76,,4.2,0,,
2.44,,3.9,0,,
103.56,,3.39,1,,
38.26,,3.62,0,,
0,,3.7,0,,
3.79,,3.91,0,,
20.37,,4.09,0,,
36.3,,4.23,0,,
109.25,,3.34,1,,
64.15,,4.4,0,,
26.35,,4.42,0,,
1.83,,4.4,0,,
11.77,,4.34,0,,
13.11,,4.25,0,,
115.5,,4.14,1,,
10.46,,4.01,0,,
5.83,,3.88,0,,
186.2,,3.76,0,,
39.65,,3.68,0,,
16.45,,3.66,0,,
234.56,,3.93,1,,
23.08,,4.3,0,,
1.87,,4.62,0,,
38.35,,4.86,0,,
26.42,,5,0,,
90.75,,5.03,0,,
104.52,,3.94,1,,
7.2,,4.75,0,,
2.57,,4.5,0,,
12.25,,4.2,0,,
17.83,,3.89,0,,
3.91,,3.63,0,,
102.74,,3.43,1,,
0,,3.51,0,,
1.26,,3.7,0,,
1.27,,3.89,0,,
50.35,,4.06,0,,
8.57,,4.21,0,,
106.45,,3.32,1,,
5.27,,4.4,0,,
2.62,,4.43,0,,
1.3,,4.41,0,,
13.24,,4.36,0,,
0,,4.27,0,,
101.54,,3.54,1,,
0,,3.99,0,,
0,,3.82,0,,
0,,3.66,0,,
0,,3.58,0,,
0,,3.85,0,,
108.56,,3.43,1,,
0,,4.5,0,,
9.27,,4.75,0,,
1.07,,4.91,0,,
0,,4.95,0,,
0,,4.88,0,,
102.52,,3.7,1,,
0.52,,4.44,0,,
64.92,,4.13,0,,
45.81,,3.8,0,,
180.63,,3.49,0,,
78.5,,3.26,0,,
113.52,,3.32,1,,
5.41,,3.49,0,,
14.13,,3.7,0,,
16.31,,3.91,0,,
102,,4.09,0,,
87.81,,4.24,0,,
116.4,,3.35,1,,
151.13,,4.41,0,,
18.48,,4.42,0,,
47.95,,4.38,0,,
7.55,,4.29,0,,
4.27,,4.15,0,,
118.51,,3.97,1,,
0.44,,3.75,0,,
5.36,,3.56,0,,
24.46,,3.57,0,,
68.12,,3.76,0,,
57.2,,4.06,0,,
114.2,,4.06,1,,
5.34,,4.6,0,,
15.71,,4.74,0,,
12.42,,4.78,0,,
5.87,,4.7,0,,
2.05,,4.53,0,,
108.45,,3.27,1,,
17.87,,3.98,0,,
2.58,,3.72,0,,
0.94,,3.45,0,,
1.48,,3.24,0,,
2.02,,3.19,0,,
123.5,,3.32,1,,
9.66,,3.54,0,,
6.7,,3.75,0,,
27.11,,3.95,0,,
24.38,,4.12,0,,
40.75,,4.25,0,,
119.5,,4.33,1,,
35.3,,4.36,0,,
107.3,,4.33,0,,
15.63,,4.3,0,,
0,,4.22,0,,
8.53,,4.06,0,,
133.45,,3.86,1,,
18.9,,3.66,0,,
55.46,,3.6,0,,
17.25,,3.72,0,,
78.92,,3.97,0,,
98.57,,4.21,0,,
146.42,,4.16,1,,
21.05,,4.5,0,,
58.16,,4.51,0,,
215.37,,4.53,0,,
28.14,,4.48,0,,
6.84,,4.34,0,,
131.52,,4.13,1,,
5.75,,3.88,0,,
4.11,,3.61,0,,
4.64,,3.37,0,,
4.64,,3.22,0,,
145.52,,3.84,1,,
31.58,,3.4,0,,
3.58,,4.37,0,,
92.51,,4.23,0,,
9.53,,4.07,0,,
7.35,,3.9,0,,
151.54,,3.74,1,,
1.88,,3.6,0,,
0,,3.52,0,,
11.7,,3.51,0,,
11.15,,3.58,0,,
6.24,,3.93,0,,
158.52,,4.13,1,,
4.04,,4.56,0,,
1.86,,4.79,0,,
8.95,,4.92,0,,
5.13,,4.95,0,,
6.76,,4.88,0,,
10.57,,4.72,0,,
107.52,,3.49,1,,
2.92,,4.22,0,,
5.65,,3.97,0,,
5.1,,3.76,0,,
2.37,,3.64,0,,
0.73,,3.81,0,,
164.5,,4.02,1,,
0,,4.19,0,,
0.17,,4.32,0,,
2.35,,4.41,0,,
10.53,,4.45,0,,
3.43,,4.45,0,,
146.35,,3.79,1,,
10,,4.32,0,,
3.42,,4.2,0,,
0,,4.05,0,,
5.6,,3.9,0,,
3.96,,3.74,0,,
154.54,,3.6,1,,
13.23,,3.29,0,,
1.22,,3.52,0,,
0,,3.84,0,,
0,,4.19,0,,
1.75,,4.52,0,,
131.52,,3.78,1,,
0,,4.95,0,,
5.56,,5,0,,
0.64,,4.94,0,,
1.19,,4.77,0,,
0,,4.52,0,,
128.45,,4.11,1,,
1.72,,3.89,0,,
3.35,,3.6,0,,
4.45,,3.48,0,,
2.25,,3.62,0,,
0,,3.81,0,,
165.58,,3.99,1,,
4.98,,4.14,0,,
44.28,,4.26,0,,
4.97,,4.35,0,,
3.33,,4.39,0,,
26.79,,4.38,0,,
140.74,,3.32,1,,
3.86,,4.23,0,,
0,,4.1,0,,
0,,3.95,0,,
0,,3.78,0,,
19.13,,3.6,0,,
119.52,,3.44,1,,
32.77,,3.49,0,,
0.56,,3.76,0,,
13.11,,4.11,0,,
4.91,,4.44,0,,
1.64,,4.72,0,,
137.52,,3.89,1,,
0,,4.95,0,,
